Id,Nome,Descricao,Data,Local,Horario,Gratuito,Tipo,Link,Saved
051,PAGUNÇA em Recife,Sem descrição disponível.,18-02-2026,"Parador - Av. Alfredo Lisboa, 04 - Recife","sáb., 14 de mar., 18:00 – dom., 15 de mar., 01:00",false,Eventos Google,https://www.recifeingressos.com/pagunca-em-recife,false
052,CORRIDA DAS ondas,Sem descrição disponível.,18-02-2026,"Hotel New Casablanca - Av. Dr. Cláudio José Gueiros Leite, 7040 - Pau Amarelo","dom., 22 de fev., 05:20 – 11:00",false,Eventos Google,https://www.ticketsports.com.br/e/corrida-das-ondas-84942,false
053,SHOW: WAY BETTER - RECIFE,Sem descrição disponível.,18-02-2026,"Teatro Luiz Mendonça - Av. Boa Viagem, S/N - Boa Viagem","dom., 12 de abr., 19:30 – 21:00",false,Eventos Google,https://www.kticket.com.br/events/show-way-better-recife,false
054,DEMÔNIOS DA GAROA EM RECIFE,Sem descrição disponível.,18-02-2026,"Mirante do Paço - Tv. do Amorim, 75 - 4º andar - Recife","sex., 6 de mar., 21:00",false,Eventos Google,https://bileto.sympla.com.br/event/113829,false
055,Pra Sempre Cringe | Recife,Sem descrição disponível.,18-02-2026,"Estelita Bar - Av. Saturnino de Brito, 385 - Cabanga","sáb., 21 de mar., 22:00 – dom., 22 de mar., 04:00",false,Eventos Google,https://www.sympla.com.br/evento/pra-sempre-cringe-recife/3293800,false
056,METRÓPOLE EXPERIENCE,Sem descrição disponível.,18-02-2026,"Club Metrópole - R. das Ninfas, 125 - Boa Vista","sáb., 21 de fev., 22:00 – dom., 22 de fev., 06:00",false,Eventos Google,https://www.sympla.com.br/evento/metropole-experience/3291155,false
057,TAURUS EM RECIFE - 07 DE MARÇO @DARKSIDERECIFE,Sem descrição disponível.,18-02-2026,"Darkside studio - R. Barão de São Borja, 89 - Soledade","sáb., 7 de mar., 19:00 – 23:50",false,Eventos Google,https://www.sympla.com.br/taurus-em-recife-07-de-marco-darksiderecife__3300060,false
058,Security BSides Recife,Sem descrição disponível.,18-02-2026,"CESAR School - Prédio Brum - Avenida, Cais do Apolo, 77","sáb., 6 de jun., 08:00 – 17:30",false,Eventos Google,https://www.sympla.com.br/evento/security-bsides-recife/3152631,false
059,CONEXÃO IBVET NORDESTE - Sala de pequenos animais,Sem descrição disponível.,18-02-2026,"CENTRO DE EVENTOS DO RECIFE - FPS - PE-008, 4831 - Imbiribeira","sex., 29 de mai., 07:45 – sáb., 30 de mai., 18:00",false,Eventos Google,https://www.sympla.com.br/conexao-ibvet-nordeste-sala-de-pequenos-animais__3286681,false
060,2zDinizz - Patrono em Recife em Recife,Sem descrição disponível.,18-02-2026,"113 Club - Av. Visc. de Albuquerque, 113 - Madalena","sáb., 7 de mar., 22:00 – dom., 8 de mar., 04:00",false,Eventos Google,https://meaple.com.br/festabecos/2zdinizz-patrono-em-recife,false
061,Café com Parceiros,Sem descrição disponível.,18-02-2026,"R. Bragança, 68 - Jardim São Paulo","sáb., 21 de fev., 17:30 – 20:00",false,Eventos Google,https://www.sympla.com.br/cafe-com-parceiros__3263617,false
062,Show temporada Adult Boa viagem,Sem descrição disponível.,18-02-2026,"Mós - Gastronomia e Eventos - Av. Alfredo Lisboa, 810 - Recife","sex., 10 de abr., 19:00 – 23:45",false,Eventos Google,https://www.sympla.com.br/evento/show-temporada-adult-boa-viagem/3286690,false
